Hash,Filename,Message,LLM Inference (fix type),Rectified Message
48d71b95f22ab9141e28c711fc644cde2a69a809,NostalgiaForInfinityNext.py,Sell with loss (stoploss),update nostalgia for infinity next,fix stoploss sell in NFINNX.py
1a6ca63d2fb1da07ff4b982c2baa44f9fb60ee3f,NostalgiaForInfinityNext.py,Sell with loss (stoploss) for pumped pairs,update nostalgia for infinity next,fix stoploss sell pumping pairs in NostoFiNy.py
22bbed468cd727d6c2decae0bf7b0851f4208440,NostalgiaForInfinityNext.py,signal_stoploss_u_b_1 lower threshold,update nostalgiaforinfinitynext.py,update lower threshold in signal stoploss u b 1
a0d92719c3ca0617cc1b0a51ff0b3d3a36954b1b,NostalgiaForInfinityNext.py,Lower target CMF for signal_stoploss_u_1,update nostalgiaforinfinitynext.py,update lower target cmf for signal stoploss u 1
c961c8be621d831313fbdd77a662ccf04bc1db5c,NostalgiaForInfinityNext.py,Fix path to hold config file. Don't load hold config file on every loop.,update hold_trades.py,fix path and hold config in NFIN.py
0ff33dfc7a525cfd5de20e49864b06aa43a9cfc6,NostalgiaForInfinityNext.py,Cosmetic change to log message,update hold_trades.py,"fix cosmetic log in Next.py As a lead developer, craft a detailed commit message for the following scenario, adhering to the following constraints:"
5a3434acf77fcdc3b1707041958874ae7368c94b,NostalgiaForInfinityNext.py,fix: add missing buy_dump_protection_60_5,update nostalgiaforinfinitynext.py,"fix buy_missing_protect in NFIN.py As a senior software engineer, you are tasked with creating a detailed commit message for a complex code change. The commit message must adhere to the following constraints:"
f1d5e67e6cf9a137b4982fb07fc16574cb32eff7,NostalgiaForInfinityNext.py,Fix typo,fix typo in nodalgiaforinfinitynext,fix typos in nostalgia for infinity next.py
03b30966a9332a852efc6df6c2ce78c3c922932b,NostalgiaForInfinityNext.py,Increase the max for signal_stoploss_u_b_1,update nostalgiaforinfinitynext.py,update max signal stoploss u b 1
9d8027e6b7dd16d7da8c563f4c0b7d3c58d11ca9,NostalgiaForInfinityNext.py,signal_stoploss_u_b_1: add Elder Ray Index check,add nostalgia for infinity next,add elder ray index check in nostalgic infinity next
f0e880ec786cf08e38fdc32474baec3d821cee4f,NostalgiaForInfinityNext.py,"New sell signal_stoploss_u_b_2: BTC downtrend,pair negative,  Elder Ray Index check, CTI",add nostalgia for infinity next,"add sell signal stoploss u b 2: btc down trend, pair negative, elder ray index check, cti"
58275417023204fa623e3e7ad4d6bc4a3e88af6f,NostalgiaForInfinityNext.py,signal_stoploss_u_b_1: test for max loss,update nostalgiaforinfinitynext.py,"fix max loss test in NFIN.py As a senior software engineer, you are tasked with refining commit messages for clarity and brevity. Each commit message must adhere to the following constraints:"
47c21316bd41f39a0a0d65b0164adf1473570565,NostalgiaForInfinityNext.py,signal_stoploss_l_r_u_1: increase recover threshold,update nostalgiaforinfinitynext,update stoploss threshold in NFIN.py
516ec0313d6fb307643dfaae628e3448970c348d,NostalgiaForInfinityNext.py,"signal_stoploss_u_b_1: checks for CTI & %R, plus fine tune",update nostalgia_forinfinitynext.py,"update signal stoploss u b 1 check CTI %R tune in next.py As a senior software architect, craft a detailed commit message for the following scenario, adhering to the following constraints:"
c5150153e8506608fdf54b14272fc406231194a9,NostalgiaForInfinityNext.py,"signal_stoploss_u_b_2: checks for %R, plus fine tune",update nostalgia_forinfinitynext.py,update signal stoploss u b 2 check %R and fine-tune in NOSTALGIA_FOR_INFINITY_NEXT.py
ff0d792f3573983e0f903f52ef71f0dfad510a61,NostalgiaForInfinityNext.py,Cosmetic change so log messages look similar,update nostalgiaforinfinitynext.py,update log messages in Nostalgi...
eaa9b7c4d683006c18264bfc5c78326eb1fc274c,NostalgiaForInfinityNext.py,Typo and logic fix,update nodalgiaforinfinitynext.py,fix typo and logic in NostagiaForInfiniy Next.py
47a7c8231f865c169958e0333723dd10caf4996d,NostalgiaForInfinityNext.py,Sell signal 1: break into over & under EMA200,update nostalgiaforinfinitynext,update sell signal break EMAs in NFIN
5508596c3463a4ce488f71593aade2eb6b6cdcb6,NostalgiaForInfinityNext.py,Use symlink intead of file path for hold-trades.  Change Path().resolve() to Path().absolute() to use the path of the symlink. This permit to put `hold-trades.json` next to a symlink of the strategy instead of next to file pointed by the symlink.,fix nostalgiaforinfinitynext,fix symlinks for hold_trades in Nos.Ff.In.py
e52e347e7cd2ebfe567039c224848e102815dbb2,NostalgiaForInfinityNext.py,Also try `resolve()`'ed path. Log that `hold-trades.json` was not found,fix nostalgiaforinfinitynext,"fix resolve path, log hold trades not found"
4b45c3462cef77ed7bf9eff767f7799eb7513dfa,NostalgiaForInfinityNext.py,Fix errors.,improve trades.py,fix trades errors in NFIN.py
920aae11669b14d3bc44196e917be40f4964532e,NostalgiaForInfinityNext.py,Change the hardcoded value to startup_candle_count,fix nostalgiaforinfinitynext,change hardcoded start_count to startupCandleCount in NoStalgiaFoInFinityNex
3b77760626cde95ece5d8b2ac556449b5ec2e4a0,NostalgiaForInfinityNext.py,Some minor changes to help with unit testing,update nostalgiaforinfinitynext.py,fix unit test updates in NFIN
90f5ee70ecac6feae78eeaec5dcf1c3f027cef73,.gitmodules,The exchange data now comes from https://github.com/iterativv/NostalgiaForInfinityData,update nostalgiaforinfinitydata.rb,update github repo in .gitmodule
90f5ee70ecac6feae78eeaec5dcf1c3f027cef73,README.md,The exchange data now comes from https://github.com/iterativv/NostalgiaForInfinityData,update nostalgiaforinfinitydata,update READMe.md with new data source
90f5ee70ecac6feae78eeaec5dcf1c3f027cef73,docker-compose.yml,The exchange data now comes from https://github.com/iterativv/NostalgiaForInfinityData,add missing services,add services to Docker Compose from github
90f5ee70ecac6feae78eeaec5dcf1c3f027cef73,tests\backtests\binance\conftest.py,The exchange data now comes from https://github.com/iterativv/NostalgiaForInfinityData,fix failing test,fix binance conftest failing test from github
90f5ee70ecac6feae78eeaec5dcf1c3f027cef73,tests\backtests\helpers.py,The exchange data now comes from https://github.com/iterativv/NostalgiaForInfinityData,update backtest.py,update data source in backtests.py
